O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.689510999999999985e+00,1.017649999999999944e-01,1.498663000000000078e+00,1.177438999999999902e+00,1.532445999999999975e+00,1.769999999999999926e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.796470000000000011e+00
1.200000000000000000e+01,2.886080999999999896e+00,4.641499999999999793e-02,1.159896999999999956e+00,1.894255999999999940e+00,1.006787000000000099e+00,6.564000000000000390e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.907170000000000032e+00
1.200000000000000000e+01,2.888129999999999864e+00,4.093800000000000217e-02,1.150520999999999905e+00,2.085052000000000127e+00,8.197969999999999979e-01,1.556100000000000018e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.918123999999999940e+00
1.200000000000000000e+01,2.795565999999999995e+00,6.652900000000000480e-02,1.311037999999999926e+00,1.854861000000000093e+00,9.593439999999999745e-01,1.266100000000000038e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.866942000000000101e+00
1.200000000000000000e+01,2.674586999999999826e+00,6.154899999999999954e-02,1.521335000000000104e+00,1.638357999999999981e+00,1.077287000000000106e+00,2.688400000000000165e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.876902000000000070e+00
1.200000000000000000e+01,2.842750000000000110e+00,5.752000000000000168e-02,1.222769999999999913e+00,1.521735000000000060e+00,1.343015000000000070e+00,1.221000000000000037e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.884961000000000109e+00
1.200000000000000000e+01,2.811497999999999831e+00,6.850699999999999845e-02,1.277581999999999995e+00,2.098222999999999949e+00,7.411079999999999890e-01,3.082999999999999803e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.862984999999999891e+00
1.200000000000000000e+01,2.662802000000000113e+00,6.199999999999999956e-02,1.532826999999999940e+00,1.763328000000000007e+00,9.652439999999999909e-01,1.379900000000000050e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.875998999999999972e+00
1.200000000000000000e+01,2.606844000000000161e+00,8.550699999999999967e-02,1.656719000000000053e+00,1.410481000000000096e+00,1.226814000000000071e+00,1.363499999999999955e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.828986000000000001e+00
1.200000000000000000e+01,2.574485000000000134e+00,1.031170000000000003e-01,1.706795999999999980e+00,1.589782999999999946e+00,1.005978000000000039e+00,1.984100000000000100e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.793765000000000054e+00
1.200000000000000000e+01,2.605707000000000217e+00,9.587900000000000589e-02,1.668268000000000084e+00,1.461672000000000082e+00,1.160271000000000052e+00,8.203000000000000222e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.808241999999999905e+00
1.200000000000000000e+01,2.739971999999999852e+00,7.477499999999999425e-02,1.396535000000000082e+00,1.574858000000000091e+00,1.212040000000000006e+00,1.819000000000000087e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.850449000000000011e+00
