O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
5.389961300000000222e+01,1.721086899999999886e+01,1.825460000000000138e-01,3.788367000000000040e+00,1.271379000000000037e+00,2.963689999999999936e-01,6.013299999999999895e-02,1.868410000000000071e-01,4.509960000000000080e-01,1.176884999999999959e+00,2.147600299999999862e+01
5.315838800000000219e+01,1.560521100000000061e+01,1.407239999999999880e-01,4.897196000000000105e+00,1.156101999999999963e+00,9.157889999999999642e-01,1.731999999999999859e-02,2.381479999999999986e-01,1.212391999999999914e+00,1.008882999999999974e+00,2.164984799999999865e+01
5.391913900000000126e+01,1.752711400000000097e+01,8.934599999999999487e-02,3.504115000000000091e+00,1.085229999999999917e+00,5.230019999999999669e-01,1.045999999999999985e-01,7.845000000000000584e-02,6.668279999999999763e-01,7.104110000000000147e-01,2.179176199999999852e+01
5.322093600000000180e+01,1.508378300000000038e+01,1.718949999999999922e-01,5.431880999999999737e+00,1.764072000000000084e+00,9.196379999999999555e-01,2.578400000000000136e-02,1.461109999999999909e-01,6.446060000000000123e-01,1.104424999999999990e+00,2.148686999999999969e+01
5.343363000000000085e+01,1.618554299999999913e+01,1.350069999999999881e-01,4.411665000000000170e+00,1.075696999999999903e+00,1.093116999999999894e+00,1.306500000000000022e-02,2.264629999999999976e-01,5.400260000000000060e-01,1.110538000000000025e+00,2.177524899999999874e+01
5.299498499999999979e+01,1.312160000000000082e+01,2.456530000000000102e-01,8.081557000000000102e+00,1.719568999999999903e+00,7.744299999999999518e-01,2.081799999999999970e-02,3.330899999999999833e-02,4.913049999999999917e-01,1.698750999999999900e+00,2.081802300000000017e+01
5.310732800000000253e+01,1.393577800000000089e+01,2.040939999999999976e-01,7.002968000000000082e+00,1.751805000000000057e+00,8.312570000000000237e-01,1.275599999999999998e-02,1.254329999999999889e-01,6.505490000000000439e-01,1.118263999999999925e+00,2.125976899999999858e+01
5.328643000000000285e+01,1.570102600000000059e+01,1.947550000000000114e-01,5.203332999999999764e+00,1.013994000000000062e+00,4.932369999999999810e-01,2.116999999999999958e-03,1.545330000000000037e-01,1.524169999999999969e-01,2.629185999999999801e+00,2.116897200000000012e+01
5.439476200000000006e+01,1.784783900000000045e+01,4.678299999999999820e-02,4.482693000000000261e+00,3.104709999999999970e-01,1.679950000000000054e-01,6.380000000000000254e-03,1.913899999999999976e-02,4.040380000000000082e-01,1.054750999999999994e+00,2.126514900000000097e+01
5.315976200000000063e+01,1.586096900000000076e+01,1.237779999999999991e-01,4.564588999999999785e+00,1.092287000000000008e+00,9.467940000000000245e-01,1.954399999999999887e-02,2.280119999999999925e-01,9.945680000000000076e-01,1.294240999999999975e+00,2.171545599999999965e+01
5.309501099999999951e+01,1.507906000000000013e+01,1.762380000000000058e-01,5.553632999999999598e+00,1.164887000000000006e+00,1.046678999999999915e+00,1.719400000000000095e-02,6.662600000000000466e-02,9.069789999999999797e-01,1.401304000000000105e+00,2.149238799999999827e+01
5.387385799999999847e+01,1.557173900000000089e+01,1.551299999999999901e-01,6.670607999999999649e+00,8.301570000000000338e-01,1.739980000000000138e-01,2.096000000000000207e-03,1.048200000000000000e-02,2.725259999999999905e-01,1.475835000000000008e+00,2.096357000000000070e+01
5.363659899999999681e+01,1.686238900000000029e+01,1.110939999999999983e-01,3.929692000000000185e+00,1.084804000000000102e+00,7.210250000000000270e-01,2.614000000000000004e-02,1.895139999999999880e-01,5.925040000000000306e-01,1.063020999999999994e+00,2.178321800000000152e+01
5.346157399999999882e+01,1.685901300000000091e+01,1.097449999999999953e-01,3.542565999999999882e+00,8.867390000000000549e-01,8.933240000000000069e-01,1.097399999999999938e-02,5.136060000000000070e-01,1.000874000000000041e+00,7.726039999999999575e-01,2.194898200000000088e+01
5.352279999999999660e+01,1.656156899999999865e+01,6.768699999999999717e-02,3.982636999999999983e+00,1.170336000000000043e+00,1.152868999999999922e+00,3.493500000000000077e-02,2.401810000000000056e-01,7.816800000000000415e-01,6.506720000000000281e-01,2.183463300000000018e+01
